,cats,parent
0,Thể_loại:Triều đại Việt Nam,Thể_loại:Triều đại Việt Nam
1,Thể loại:Nhà Đinh,Thể_loại:Triều đại Việt Nam
2,Thể loại:Nhà Hậu Trần,Thể_loại:Triều đại Việt Nam
3,Thể loại:Nhà Hồ,Thể_loại:Triều đại Việt Nam
4,Thể loại:Nhà Lê trung hưng,Thể_loại:Triều đại Việt Nam
5,Thể loại:Nhà Lê sơ,Thể_loại:Triều đại Việt Nam
6,Thể loại:Nhà Tiền Lê,Thể_loại:Triều đại Việt Nam
7,Thể loại:Nhà Lý,Thể_loại:Triều đại Việt Nam
8,Thể loại:Nhà Tiền Lý,Thể_loại:Triều đại Việt Nam
9,Thể loại:Nhà Mạc,Thể_loại:Triều đại Việt Nam
10,Thể loại:Nhà Ngô,Thể_loại:Triều đại Việt Nam
11,Thể loại:Nhà Nguyễn,Thể_loại:Triều đại Việt Nam
12,Thể loại:Nhà Hậu Lê,Thể_loại:Triều đại Việt Nam
13,Thể loại:Nhà Tây Sơn,Thể_loại:Triều đại Việt Nam
14,Thể loại:Nhà Triệu,Thể_loại:Triều đại Việt Nam
15,Thể loại:Nhà Trần,Thể_loại:Triều đại Việt Nam
